Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE,Duration_min,Set_Volume,DateOnly,Week,DOW
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Oblique Scrunches,1,0.0,10,0.0,0,,,,128,,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Oblique Scrunches,2,0.0,10,0.0,0,,,,128,,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Oblique Scrunches,3,0.0,10,0.0,0,,,,128,,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Basic Scrunches,1,0.0,12,0.0,0,,,,128,,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Basic Scrunches,2,0.0,12,0.0,0,,,,128,,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Triceps Pushdown (Cable - Straight Bar),1,65.0,10,0.0,0,,,,128,650.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Pec Deck (Machine),3,40.0,8,0.0,0,,,,128,320.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Seated Row (Cable),3,60.0,10,0.0,0,,,,128,600.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Cable Curl,1,55.0,10,0.0,0,,,,128,550.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Seated Row (Cable),1,60.0,10,0.0,0,,,,128,600.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Running (Treadmill),1,0.0,0,0.5,600,,,,128,,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Seated Row (Cable),2,60.0,10,0.0,0,,,,128,600.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Squat (Machine),2,60.0,10,0.0,0,,,,128,600.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Squat (Machine),3,60.0,10,0.0,0,,,,128,600.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Hip Thrust (Barbell),1,136.0,10,0.0,0,,,,128,1360.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Hip Thrust (Barbell),2,136.0,10,0.0,0,,,,128,1360.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Hip Thrust (Barbell),3,146.0,10,0.0,0,,,,128,1460.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Squat (Machine),1,50.0,10,0.0,0,,,,128,500.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Incline Bench Press (Dumbbell),2,12.5,10,0.0,0,,,,128,125.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Incline Bench Press (Dumbbell),3,12.5,10,0.0,0,,,,128,125.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Seated Overhead Press (Dumbbell),1,12.5,10,0.0,0,,,,128,125.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Seated Overhead Press (Dumbbell),2,12.5,10,0.0,0,,,,128,125.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Seated Overhead Press (Dumbbell),3,12.5,10,0.0,0,,,,128,125.0,2025-02-13,2025-02-10,Thursday
2025-02-13 10:37:37,Usual Workout (Thursday),2h 8min,Incline Bench Press (Dumbbell),1,12.5,10,0.0,0,,,,128,125.0,2025-02-13,2025-02-10,Thursday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Oblique Scrunches,3,0.0,10,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Face Pull (Cable),1,35.0,10,0.0,0,,,,114,350.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Face Pull (Cable),2,35.0,10,0.0,0,,,,114,350.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Face Pull (Cable),3,35.0,10,0.0,0,,,,114,350.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Hip Thrust (Barbell),1,116.0,10,0.0,0,,,,114,1160.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Hip Thrust (Barbell),4,146.0,10,0.0,0,,,,114,1460.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Hip Thrust (Barbell),3,146.0,10,0.0,0,,,,114,1460.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Squat (Machine),1,60.0,10,0.0,0,,,,114,600.0,2025-02-24,2025-02-24,Monday
