timestamp,date,bmi
2025-09-08T10:08:46-04:00,2025-09-08,16.9
2025-09-08T10:10:30-04:00,2025-09-08,17.2
2025-09-08T10:14:27-04:00,2025-09-08,20.3
2025-09-10T12:22:20-04:00,2025-09-10,32.9
