timestamp,date,weight_lb
2023-07-30T00:00:00-04:00,2023-07-30,124.0
2025-01-04T09:07:25-04:00,2025-01-04,114.64
2025-09-08T10:08:46-04:00,2025-09-08,89.7
2025-09-08T10:10:30-04:00,2025-09-08,91.2
2025-09-08T10:14:27-04:00,2025-09-08,107.7
2025-09-10T12:22:20-04:00,2025-09-10,174.1
